ladcode,ladname,shielding_advice,start_datetime_utc
E07000069,Castle Point Borough Council,YES,2020-12-20T00:01:00
E07000070,Chelmsford City Council,YES,2020-12-20T00:01:00
E07000071,Colchester Borough Council,YES,2020-12-26T00:01:00
E07000072,Epping Forest District Council,YES,2020-12-20T00:01:00
E07000073,Harlow Council,YES,2020-12-20T00:01:00
E07000074,Maldon District Council,YES,2020-12-20T00:01:00
E07000075,Rochford District Council,YES,2020-12-20T00:01:00
E07000203,Mid Suffolk District Council,YES,2020-12-26T00:01:00
E07000244,East Suffolk District Council,YES,2020-12-26T00:01:00
E07000245,West Suffolk District Council,YES,2020-12-26T00:01:00
E07000207,Elmbridge Borough Council,YES,2020-12-20T00:01:00
E07000208,Epsom and Ewell Borough Council,YES,2020-12-20T00:01:00
E07000209,Guildford Borough Council,YES,2020-12-20T00:01:00
E07000210,Mole Valley District Council,YES,2020-12-20T00:01:00
E07000211,Reigate and Banstead Borough Council,YES,2020-12-20T00:01:00
E07000212,Runnymede Borough Council,YES,2020-12-20T00:01:00
E07000213,Spelthorne Borough Council,YES,2020-12-20T00:01:00
E07000214,Surrey Heath Borough Council,YES,2020-12-20T00:01:00
E07000215,Tandridge District Council,YES,2020-12-20T00:01:00
E07000216,Waverley Borough Council,YES,2020-12-26T00:01:00
E07000217,Woking Borough Council,YES,2020-12-20T00:01:00
E07000223,Adur District Council,YES,2020-12-26T00:01:00
E07000224,Arun District Council,YES,2020-12-26T00:01:00
E07000225,Chichester District Council,YES,2020-12-26T00:01:00
E07000226,Crawley Borough Council,YES,2020-12-26T00:01:00
E07000227,Horsham District Council,YES,2020-12-26T00:01:00
E07000228,Mid Sussex District Council,YES,2020-12-26T00:01:00
E07000229,Worthing Borough Council,YES,2020-12-26T00:01:00
E07000076,Tendring District Council,YES,2020-12-26T00:01:00
E07000077,Uttlesford District Council,YES,2020-12-26T00:01:00
E07000084,Basingstoke and Deane Borough Council,YES,2020-12-26T00:01:00
E07000085,East Hampshire District Council,YES,2020-12-26T00:01:00
E07000086,Eastleigh Borough Council,YES,2020-12-26T00:01:00
E07000087,Fareham Borough Council,YES,2020-12-26T00:01:00
E07000088,Gosport Borough Council,YES,2020-12-20T00:01:00
E07000089,Hart District Council,YES,2020-12-26T00:01:00
E07000090,Havant Borough Council,YES,2020-12-20T00:01:00
E07000092,Rushmoor Borough Council,YES,2020-12-26T00:01:00
E07000093,Test Valley Borough Council,YES,2020-12-26T00:01:00
E07000094,Winchester City Council,YES,2020-12-26T00:01:00
E07000095,Borough of Broxbourne,YES,2020-12-20T00:01:00
E07000096,Dacorum Borough Council,YES,2020-12-20T00:01:00
E07000098,Hertsmere Borough Council,YES,2020-12-20T00:01:00
E07000099,North Hertfordshire District Council,YES,2020-12-20T00:01:00
E07000102,Three Rivers District Council,YES,2020-12-20T00:01:00
E07000103,Watford Borough Council,YES,2020-12-20T00:01:00
E07000240,St Albans City and District Council,YES,2020-12-20T00:01:00
E07000241,Welwyn Hatfield Council,YES,2020-12-20T00:01:00
E07000242,East Hertfordshire District Council,YES,2020-12-20T00:01:00
E07000243,Stevenage Borough Council,YES,2020-12-20T00:01:00
E07000105,Ashford Borough Council,YES,2020-12-20T00:01:00
E07000106,Canterbury City Council,YES,2020-12-20T00:01:00
E07000107,Dartford Borough Council,YES,2020-12-20T00:01:00
E07000108,Dover District Council,YES,2020-12-20T00:01:00
E07000109,Gravesham Borough Council,YES,2020-12-20T00:01:00
E07000110,Maidstone Borough Council,YES,2020-12-20T00:01:00
E07000111,Sevenoaks District Council,YES,2020-12-20T00:01:00
E07000112,Folkestone and Hythe,YES,2020-12-20T00:01:00
E07000113,Swale Borough Council,YES,2020-12-20T00:01:00
E07000114,Thanet District Council,YES,2020-12-20T00:01:00
E07000115,Tonbridge and Malling Borough Council,YES,2020-12-20T00:01:00
E07000116,Tunbridge Wells Borough Council,YES,2020-12-20T00:01:00
E07000143,Breckland Council,YES,2020-12-26T00:01:00
E07000144,Broadland District Council,YES,2020-12-26T00:01:00
E07000145,Great Yarmouth Borough Council,YES,2020-12-26T00:01:00
E07000146,Borough Council of Kings Lynn and West Norfolk,YES,2020-12-26T00:01:00
E07000147,North Norfolk District Council,YES,2020-12-26T00:01:00
E07000148,Norwich City Council,YES,2020-12-26T00:01:00
E07000149,South Norfolk District Council,YES,2020-12-26T00:01:00
E07000177,Cherwell District Council,YES,2020-12-26T00:01:00
E07000178,Oxford City Council,YES,2020-12-26T00:01:00
E07000179,South Oxfordshire District Council,YES,2020-12-26T00:01:00
E07000180,Vale of White Horse District Council,YES,2020-12-26T00:01:00
E07000181,West Oxfordshire District Council,YES,2020-12-26T00:01:00
E07000200,Babergh District Council,YES,2020-12-26T00:01:00
E07000202,Ipswich Borough Council,YES,2020-12-26T00:01:00
